,gas_harbor,gas_ct,ci_shed_nonwatersystem,utility_solar_outofbasin,solar_rooftop_ci,solar_rooftop_residentialSF,solar_rooftop_residentialMF,FCZ7.Commercial.College.Cooling,FCZ7.Commercial.College.Heating,FCZ7.Commercial.College.IndoorLightingEff,FCZ7.Commercial.College.OfficeEquipment,FCZ7.Commercial.College.OutdoorLighting,FCZ7.Commercial.College.Refrigeration,FCZ7.Commercial.College.Ventilation,FCZ7.Commercial.College.WaterHeating,FCZ7.Commercial.Food.Cooling,FCZ7.Commercial.Food.Heating,FCZ7.Commercial.Food.IndoorLightingEff,FCZ7.Commercial.Food.OfficeEquipment,FCZ7.Commercial.Food.OutdoorLighting,FCZ7.Commercial.Food.Refrigeration,FCZ7.Commercial.Food.Ventilation,FCZ7.Commercial.Food.WaterHeating,FCZ7.Commercial.Health Care.Cooling,FCZ7.Commercial.Health Care.Heating,FCZ7.Commercial.Health Care.IndoorLightingEff,FCZ7.Commercial.Health Care.OfficeEquipment,FCZ7.Commercial.Health Care.OutdoorLighting,FCZ7.Commercial.Health Care.Refrigeration,FCZ7.Commercial.Health Care.Ventilation,FCZ7.Commercial.Health Care.WaterHeating,FCZ7.Commercial.Hotel.Cooking,FCZ7.Commercial.Hotel.Cooling,FCZ7.Commercial.Hotel.Heating,FCZ7.Commercial.Hotel.IndoorLightingEff,FCZ7.Commercial.Hotel.OfficeEquipment,FCZ7.Commercial.Hotel.OutdoorLighting,FCZ7.Commercial.Hotel.Refrigeration,FCZ7.Commercial.Hotel.Ventilation,FCZ7.Commercial.Hotel.WaterHeating,FCZ7.Commercial.Miscellaneous.Cooking,FCZ7.Commercial.Miscellaneous.Cooling,FCZ7.Commercial.Miscellaneous.Heating,FCZ7.Commercial.Miscellaneous.IndoorLightingEff,FCZ7.Commercial.Miscellaneous.OfficeEquipment,FCZ7.Commercial.Miscellaneous.OutdoorLighting,FCZ7.Commercial.Miscellaneous.Refrigeration,FCZ7.Commercial.Miscellaneous.Ventilation,FCZ7.Commercial.Miscellaneous.WaterHeating,FCZ7.Commercial.Office.Cooling,FCZ7.Commercial.Office.Heating,FCZ7.Commercial.Office.IndoorLightingEff,FCZ7.Commercial.Office.OfficeEquipment,FCZ7.Commercial.Office.OutdoorLighting,FCZ7.Commercial.Office.Refrigeration,FCZ7.Commercial.Office.Ventilation,FCZ7.Commercial.Office.WaterHeating,FCZ7.Commercial.Refrigerated Warehouse.Cooling,FCZ7.Commercial.Refrigerated Warehouse.Heating,FCZ7.Commercial.Refrigerated Warehouse.IndoorLightingEff,FCZ7.Commercial.Refrigerated Warehouse.OfficeEquipment,FCZ7.Commercial.Refrigerated Warehouse.OutdoorLighting,FCZ7.Commercial.Refrigerated Warehouse.Refrigeration,FCZ7.Commercial.Refrigerated Warehouse.Ventilation,FCZ7.Commercial.Refrigerated Warehouse.WaterHeating,FCZ7.Commercial.Restaurant.Cooling,FCZ7.Commercial.Restaurant.Heating,FCZ7.Commercial.Restaurant.IndoorLightingEff,FCZ7.Commercial.Restaurant.OfficeEquipment,FCZ7.Commercial.Restaurant.OutdoorLighting,FCZ7.Commercial.Restaurant.Refrigeration,FCZ7.Commercial.Restaurant.Ventilation,FCZ7.Commercial.Restaurant.WaterHeating,FCZ7.Commercial.Retail.Cooling,FCZ7.Commercial.Retail.Heating,FCZ7.Commercial.Retail.IndoorLightingEff,FCZ7.Commercial.Retail.OfficeEquipment,FCZ7.Commercial.Retail.OutdoorLighting,FCZ7.Commercial.Retail.Refrigeration,FCZ7.Commercial.Retail.Ventilation,FCZ7.Commercial.Retail.WaterHeating,FCZ7.Commercial.School.Cooking,FCZ7.Commercial.School.Cooling,FCZ7.Commercial.School.Heating,FCZ7.Commercial.School.IndoorLightingEff,FCZ7.Commercial.School.OfficeEquipment,FCZ7.Commercial.School.OutdoorLighting,FCZ7.Commercial.School.Refrigeration,FCZ7.Commercial.School.Ventilation,FCZ7.Commercial.School.WaterHeating,FCZ7.Commercial.Warehouse.Cooking,FCZ7.Commercial.Warehouse.Cooling,FCZ7.Commercial.Warehouse.Heating,FCZ7.Commercial.Warehouse.IndoorLightingEff,FCZ7.Commercial.Warehouse.OfficeEquipment,FCZ7.Commercial.Warehouse.OutdoorLighting,FCZ7.Commercial.Warehouse.Refrigeration,FCZ7.Commercial.Warehouse.Ventilation,FCZ7.Commercial.Warehouse.WaterHeating,FCZ7.Residential.MULTIFAMILY.CoolingEff,FCZ7.Residential.MULTIFAMILY.Dryer,FCZ7.Residential.MULTIFAMILY.Heating,FCZ7.Residential.MULTIFAMILY.Refrigerator,FCZ7.Residential.MULTIFAMILY.ResLightingEff,FCZ7.Residential.MULTIFAMILY.WaterHeating,FCZ7.Residential.SINGLEFAMILY.CoolingEff,FCZ7.Residential.SINGLEFAMILY.Dryer,FCZ7.Residential.SINGLEFAMILY.Heating,FCZ7.Residential.SINGLEFAMILY.Refrigerator,FCZ7.Residential.SINGLEFAMILY.ResLightingEff,FCZ7.Residential.SINGLEFAMILY.WaterHeating
0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01689138480143001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3482809033761876,0,0,0,0,0,0.576916438044794,0
1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017156029365743307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25500366091264876,0,0,0,0,0,0.4224055993767882,0
2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016829729507409207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20929529904137595,0,0,0,0,0,0.34669112561721394,0
3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01671748775299407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18980520820017957,0,0,0,0,0,0.3144063989030209,0
4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01646769182414733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19563422644041276,0,0,0,0,0,0.324061985551196,0
5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018113158934020896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2399342438911486,0,0,0,0,0,0.39744358076715725,0
6,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018939333711278355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32143943612770864,0,0,0,0,0,0.5324543859288834,0
7,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02021394174661474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39347619862817007,0,0,0,0,0,0.6517810329749196,0
8,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020123398709429377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42819765847459856,0,0,0,0,0,0.7092960467012979,0
9,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020921868492764315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42353470403720445,0,0,0,0,0,0.7015720083210457,0
